respondent_id,xyz_vaccine,seasonal_vaccine
2653,0.196202646298371,0.959186954786634
9506,0.242571760372508,0.660711671160499
23107,0.113340920250932,0.821098427762991
22648,0.0754931717925023,0.790936934087006
25589,0.216385296569483,0.641032071789821
12946,0.0695707794370273,0.242350598928958
12220,0.615151393104289,0.232836321587987
14558,0.154494869056976,0.308843907782978
6039,0.0759836806835532,0.266375206695685
4020,0.203677134377139,0.398376372170354
18800,0.38769994291951,0.740077330311273
21538,0.0706546002602469,0.0467450536633238
20819,0.254456860744719,0.544793889067275
6290,0.0261471467900498,0.064312241093484
1709,0.0282351851097052,0.186540395595612
2926,0.311076323578859,0.493244073296283
16314,0.138586244758261,0.320690729256154
23067,0.246190667721475,0.975154151036397
239,0.0661739205813188,0.356174475208576
23052,0.0590355181498742,0.376161614105899
13969,0.619945289995455,0.826568000516757
9408,0.112405832109486,0.577351390983762
24101,0.131890802713961,0.415312742965108
451,0.0650226492441298,0.0730607298589788
16289,0.167240562954992,0.435324033598697
24988,0.309823926249769,0.403266801052161
23839,0.112246438506266,0.278653502096026
7590,0.202747954380959,0.388692168661086
2727,0.569106854686659,0.902634332069959
2766,0.375106698486885,0.787532060582562
20197,0.295236176153293,0.0658556476769334
24102,0.408281344512753,0.716973839074799
11335,0.0653823101895049,0.287637523620622
21244,0.146659274602331,0.573730152180494
23240,0.0278501926906165,0.061046476541454
1716,0.544585249605319,0.640749867833832
4435,0.365191845504694,0.539088578558137
21239,0.125408587321732,0.494994593601176
2028,0.144414424710973,0.233457628483079
21315,0.345230321962263,0.951600096746553
2813,0.13843905539696,0.740458636179874
6492,0.0785917049239902,0.568921154593974
4654,0.760150230142671,0.885516178173038
8143,0.054518855006129,0.0757617269872664
21013,0.270580689329462,0.525566697471475
11402,0.397105173718583,0.101728379474862
20546,0.0886807991702244,0.291869543318657
12980,0.0884758685877397,0.752638239454564
11016,0.0829552822622125,0.2940489204471
19444,0.0522672883752155,0.240786004565658
9111,0.0869504053375177,0.23082002616334
22031,0.156515307470878,0.534269347803561
5296,0.327940401751677,0.892504176744812
1906,0.730783486597031,0.891611675519931
1844,0.114982112569277,0.855909890986819
21490,0.151135543544293,0.785272586163614
11095,0.0906999740619861,0.73952449371166
22096,0.144303141870897,0.832367007447165
24821,0.107650487281681,0.216810372936533
15653,0.820049551802342,0.870238450465902
11787,0.219686990432347,0.327260728631875
1900,0.0487502574841534,0.830679889163316
21712,0.0884984571774607,0.233910372149
24931,0.0808915671342959,0.19123889838901
14150,0.0533964416498359,0.100324506974639
2542,0.0184671627264906,0.0833634091686091
7775,0.045233408389275,0.215879559659682
5950,0.0225485125974835,0.0515196012369179
4491,0.197323120172373,0.330336508634902
14855,0.118831466815816,0.244000139016223
